Site,Depth..m.,Depth,Taxon,utrans,year,cover
HonoluaN,3,S,Montipora capitata,Honolua North.3,1999,0.784484501
HonoluaS,3,S,Montipora capitata,Honolua South.3,1999,1.091924995
Kahekili,3,S,Montipora capitata,Kahekili.3,1999,2.463122161
Kahekili,7,D,Montipora capitata,Kahekili.7,1999,1.507614836
Molokini,8,D,Montipora capitata,Molokini.8,1999,NA
Molokini,13,D,Montipora capitata,Molokini.13,1999,NA
Olowalu,3,S,Montipora capitata,Olowalu.3,1999,3.257026451
Olowalu,7,D,Montipora capitata,Olowalu.7,1999,10.52377761
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,1999,4.004561404
Puamana,3,S,Montipora capitata,Puamana.3,1999,0.117821662
HonoluaN,3,S,Montipora capitata,Honolua North.3,2000,0.722380952
HonoluaS,3,S,Montipora capitata,Honolua South.3,2000,1.566666667
Kahekili,3,S,Montipora capitata,Kahekili.3,2000,NA
Kahekili,7,D,Montipora capitata,Kahekili.7,2000,NA
Molokini,8,D,Montipora capitata,Molokini.8,2000,8.378488562
Molokini,13,D,Montipora capitata,Molokini.13,2000,21.87222222
Olowalu,3,S,Montipora capitata,Olowalu.3,2000,2.949166667
Olowalu,7,D,Montipora capitata,Olowalu.7,2000,10.17460784
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2000,3.97037037
Puamana,3,S,Montipora capitata,Puamana.3,2000,0.340436508
HonoluaN,3,S,Montipora capitata,Honolua North.3,2001,1.126967793
HonoluaS,3,S,Montipora capitata,Honolua South.3,2001,1.422025898
Kahekili,3,S,Montipora capitata,Kahekili.3,2001,1.346666667
Kahekili,7,D,Montipora capitata,Kahekili.7,2001,1.32
Molokini,8,D,Montipora capitata,Molokini.8,2001,7.066666667
Molokini,13,D,Montipora capitata,Molokini.13,2001,19.14
Olowalu,3,S,Montipora capitata,Olowalu.3,2001,3.193333333
Olowalu,7,D,Montipora capitata,Olowalu.7,2001,8.76
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2001,3.84
Puamana,3,S,Montipora capitata,Puamana.3,2001,0.485001899
HonoluaN,3,S,Montipora capitata,Honolua North.3,2002,1.301960784
HonoluaS,3,S,Montipora capitata,Honolua South.3,2002,1.4125
Kahekili,3,S,Montipora capitata,Kahekili.3,2002,1.66002451
Kahekili,7,D,Montipora capitata,Kahekili.7,2002,1.457916667
Molokini,8,D,Montipora capitata,Molokini.8,2002,8.758333333
Molokini,13,D,Montipora capitata,Molokini.13,2002,21.24
Olowalu,3,S,Montipora capitata,Olowalu.3,2002,4.038194444
Olowalu,7,D,Montipora capitata,Olowalu.7,2002,9.751911765
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2002,4.24003268
Puamana,3,S,Montipora capitata,Puamana.3,2002,0.470285948
HonoluaN,3,S,Montipora capitata,Honolua North.3,2003,1.045714286
HonoluaS,3,S,Montipora capitata,Honolua South.3,2003,2.026666667
Kahekili,3,S,Montipora capitata,Kahekili.3,2003,3.013333333
Kahekili,7,D,Montipora capitata,Kahekili.7,2003,3.84
Molokini,8,D,Montipora capitata,Molokini.8,2003,23.10252101
Molokini,13,D,Montipora capitata,Molokini.13,2003,51.44784314
Olowalu,3,S,Montipora capitata,Olowalu.3,2003,4.96
Olowalu,7,D,Montipora capitata,Olowalu.7,2003,22.08
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2003,8.473015873
Puamana,3,S,Montipora capitata,Puamana.3,2003,0.213333333
HonoluaN,3,S,Montipora capitata,Honolua North.3,2004,1.574545455
HonoluaS,3,S,Montipora capitata,Honolua South.3,2004,2.869090909
Kahekili,3,S,Montipora capitata,Kahekili.3,2004,4.26969697
Kahekili,7,D,Montipora capitata,Kahekili.7,2004,4.218787879
Molokini,8,D,Montipora capitata,Molokini.8,2004,19.47272727
Molokini,13,D,Montipora capitata,Molokini.13,2004,49.41212121
Olowalu,3,S,Montipora capitata,Olowalu.3,2004,7.52
Olowalu,7,D,Montipora capitata,Olowalu.7,2004,19.58909091
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2004,8.772727273
Puamana,3,S,Montipora capitata,Puamana.3,2004,0.156363636
HonoluaN,3,S,Montipora capitata,Honolua North.3,2005,1.12
HonoluaS,3,S,Montipora capitata,Honolua South.3,2005,2.56
Kahekili,3,S,Montipora capitata,Kahekili.3,2005,3.64
Kahekili,7,D,Montipora capitata,Kahekili.7,2005,3.16
Molokini,8,D,Montipora capitata,Molokini.8,2005,22.68
Molokini,13,D,Montipora capitata,Molokini.13,2005,56.31111111
Olowalu,3,S,Montipora capitata,Olowalu.3,2005,4.36
Olowalu,7,D,Montipora capitata,Olowalu.7,2005,21.92888889
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2005,NA
Puamana,3,S,Montipora capitata,Puamana.3,2005,NA
HonoluaN,3,S,Montipora capitata,Honolua North.3,2006,1.2
HonoluaS,3,S,Montipora capitata,Honolua South.3,2006,1.68
Kahekili,3,S,Montipora capitata,Kahekili.3,2006,9.32
Kahekili,7,D,Montipora capitata,Kahekili.7,2006,3.32
Molokini,8,D,Montipora capitata,Molokini.8,2006,27.48444444
Molokini,13,D,Montipora capitata,Molokini.13,2006,53.34383838
Olowalu,3,S,Montipora capitata,Olowalu.3,2006,6.32
Olowalu,7,D,Montipora capitata,Olowalu.7,2006,22.96
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2006,8.36
Puamana,3,S,Montipora capitata,Puamana.3,2006,0.04
HonoluaN,3,S,Montipora capitata,Honolua North.3,2007,1.017575758
HonoluaS,3,S,Montipora capitata,Honolua South.3,2007,0.96
Kahekili,3,S,Montipora capitata,Kahekili.3,2007,5.44969697
Kahekili,7,D,Montipora capitata,Kahekili.7,2007,4.105454545
Molokini,8,D,Montipora capitata,Molokini.8,2007,21.43636364
Molokini,13,D,Montipora capitata,Molokini.13,2007,57.63111111
Olowalu,3,S,Montipora capitata,Olowalu.3,2007,5.461818182
Olowalu,7,D,Montipora capitata,Olowalu.7,2007,23.24
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2007,8.64
Puamana,3,S,Montipora capitata,Puamana.3,2007,NA
HonoluaN,3,S,Montipora capitata,Honolua North.3,2008,2.122222222
HonoluaS,3,S,Montipora capitata,Honolua South.3,2008,1.444444444
Kahekili,3,S,Montipora capitata,Kahekili.3,2008,5.531515152
Kahekili,7,D,Montipora capitata,Kahekili.7,2008,NA
Molokini,8,D,Montipora capitata,Molokini.8,2008,22.70181818
Molokini,13,D,Montipora capitata,Molokini.13,2008,59.54909091
Olowalu,3,S,Montipora capitata,Olowalu.3,2008,4.052727273
Olowalu,7,D,Montipora capitata,Olowalu.7,2008,23.15857032
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2008,3.730909091
Puamana,3,S,Montipora capitata,Puamana.3,2008,0.556363636
HonoluaN,3,S,Montipora capitata,Honolua North.3,2009,1.224149184
HonoluaS,3,S,Montipora capitata,Honolua South.3,2009,0.380792541
Kahekili,3,S,Montipora capitata,Kahekili.3,2009,5.911919192
Kahekili,7,D,Montipora capitata,Kahekili.7,2009,5.44
Molokini,8,D,Montipora capitata,Molokini.8,2009,22.87132867
Molokini,13,D,Montipora capitata,Molokini.13,2009,59.66666667
Olowalu,3,S,Montipora capitata,Olowalu.3,2009,4.281010101
Olowalu,7,D,Montipora capitata,Olowalu.7,2009,20.15535354
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2009,2.620606061
Puamana,3,S,Montipora capitata,Puamana.3,2009,0.258181818
HonoluaN,3,S,Montipora capitata,Honolua North.3,2010,1.906060606
HonoluaS,3,S,Montipora capitata,Honolua South.3,2010,0.352727273
Kahekili,3,S,Montipora capitata,Kahekili.3,2010,4.992121212
Kahekili,7,D,Montipora capitata,Kahekili.7,2010,5.393939394
Molokini,8,D,Montipora capitata,Molokini.8,2010,21.7
Molokini,13,D,Montipora capitata,Molokini.13,2010,60.16060606
Olowalu,3,S,Montipora capitata,Olowalu.3,2010,3.793240093
Olowalu,7,D,Montipora capitata,Olowalu.7,2010,22.65757576
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2010,2.017489177
Puamana,3,S,Montipora capitata,Puamana.3,2010,0.106060606
HonoluaN,3,S,Montipora capitata,Honolua North.3,2011,1.018787879
HonoluaS,3,S,Montipora capitata,Honolua South.3,2011,0.145454545
Kahekili,3,S,Montipora capitata,Kahekili.3,2011,6.04
Kahekili,7,D,Montipora capitata,Kahekili.7,2011,3.970909091
Molokini,8,D,Montipora capitata,Molokini.8,2011,22.77575758
Molokini,13,D,Montipora capitata,Molokini.13,2011,52.03515152
Olowalu,3,S,Montipora capitata,Olowalu.3,2011,5.103216783
Olowalu,7,D,Montipora capitata,Olowalu.7,2011,18.59515152
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2011,1.665454545
Puamana,3,S,Montipora capitata,Puamana.3,2011,0.258181818
HonoluaN,3,S,Montipora capitata,Honolua North.3,2012,1.648282828
HonoluaS,3,S,Montipora capitata,Honolua South.3,2012,0.556363636
Kahekili,3,S,Montipora capitata,Kahekili.3,2012,6.643636364
Kahekili,7,D,Montipora capitata,Kahekili.7,2012,3.956363636
Molokini,8,D,Montipora capitata,Molokini.8,2012,18.60032634
Molokini,13,D,Montipora capitata,Molokini.13,2012,51.71515152
Olowalu,3,S,Montipora capitata,Olowalu.3,2012,4.128340548
Olowalu,7,D,Montipora capitata,Olowalu.7,2012,17.09757576
Papaula Pt.,10,D,Montipora capitata,Papaula Pt..10,2012,1.386060606
Puamana,3,S,Montipora capitata,Puamana.3,2012,0.036363636
