Site,Depth (m),Taxon,year,cover
Honolua North,3,Montipora flabellata,2006,0.08
Honolua North,3,Montipora patula,2006,0.68
Honolua North,3,Pocillopora meandrina,2006,0.6
Honolua North,3,Porites compressa,2006,0
Honolua North,3,Porites lobata,2006,6.16
Honolua South,3,Montipora capitata,2006,1.68
Honolua South,3,Montipora flabellata,2006,0
Honolua South,3,Montipora patula,2006,1.52
Honolua South,3,Pocillopora meandrina,2006,1.64
Honolua South,3,Porites compressa,2006,0
Honolua South,3,Porites lobata,2006,3.36
Kahekili,3,Montipora capitata,2006,9.32
Kahekili,3,Montipora flabellata,2006,0
Kahekili,3,Montipora patula,2006,2.16
Kahekili,3,Pocillopora meandrina,2006,1.48
Kahekili,3,Porites compressa,2006,0
Kahekili,3,Porites lobata,2006,24.8
Kahekili,7,Montipora capitata,2006,3.32
Kahekili,7,Montipora flabellata,2006,0
Kahekili,7,Montipora patula,2006,0.4
Kahekili,7,Pocillopora meandrina,2006,0.44
Kahekili,7,Porites compressa,2006,0.4
Kahekili,7,Porites lobata,2006,26.04
Molokini,8,Montipora capitata,2006,27.48444444
Molokini,8,Montipora flabellata,2006,0
Molokini,8,Montipora patula,2006,12.46222222
Molokini,8,Pocillopora meandrina,2006,2.364444444
Molokini,8,Porites compressa,2006,0.76
Molokini,8,Porites lobata,2006,19.23111111
Molokini,13,Montipora capitata,2006,53.34383838
Molokini,13,Montipora flabellata,2006,0
Molokini,13,Montipora patula,2006,23.21050505
Molokini,13,Pocillopora meandrina,2006,1.354343434
Molokini,13,Porites compressa,2006,0
Molokini,13,Porites lobata,2006,2.34989899
Olowalu,3,Montipora capitata,2006,6.32
Olowalu,3,Montipora flabellata,2006,0
Olowalu,3,Montipora patula,2006,2.76
Olowalu,3,Pocillopora meandrina,2006,0.88
Olowalu,3,Porites compressa,2006,0
Olowalu,3,Porites lobata,2006,7.64
Olowalu,7,Montipora capitata,2006,22.96
Olowalu,7,Montipora flabellata,2006,0.08
Olowalu,7,Montipora patula,2006,12.68
Olowalu,7,Pocillopora meandrina,2006,1.4
Olowalu,7,Porites compressa,2006,0
Olowalu,7,Porites lobata,2006,15.76
Papaula Pt.,10,Montipora capitata,2006,8.36
Papaula Pt.,10,Montipora flabellata,2006,19.56
Papaula Pt.,10,Montipora patula,2006,1.68
Papaula Pt.,10,Pocillopora meandrina,2006,0.56
Papaula Pt.,10,Porites compressa,2006,0.12
Papaula Pt.,10,Porites lobata,2006,5.4
Puamana,3,Montipora capitata,2006,0.04
Puamana,3,Montipora flabellata,2006,0
Puamana,3,Montipora patula,2006,0.088888889
Puamana,3,Pocillopora meandrina,2006,2.288888889
Puamana,3,Porites compressa,2006,0
Puamana,3,Porites lobata,2006,7.568888889
Honolua North,3,Montipora capitata,2007,1.017575758
Honolua North,3,Montipora flabellata,2007,0.08
Honolua North,3,Montipora patula,2007,0.935431235
Honolua North,3,Pocillopora meandrina,2007,0.941818182
Honolua North,3,Porites compressa,2007,0
Honolua North,3,Porites lobata,2007,4.412913753
Honolua South,3,Montipora capitata,2007,0.96
Honolua South,3,Montipora flabellata,2007,0.385454545
Honolua South,3,Montipora patula,2007,2.083636364
Honolua South,3,Pocillopora meandrina,2007,1.436363636
Honolua South,3,Porites compressa,2007,0
Honolua South,3,Porites lobata,2007,3.865454545
Kahekili,3,Montipora capitata,2007,5.44969697
Kahekili,3,Montipora flabellata,2007,0
Kahekili,3,Montipora patula,2007,3.276666667
Kahekili,3,Pocillopora meandrina,2007,0.681818182
Kahekili,3,Porites compressa,2007,0
Kahekili,3,Porites lobata,2007,26.53515152
Kahekili,7,Montipora capitata,2007,4.105454545
Kahekili,7,Montipora flabellata,2007,0
Kahekili,7,Montipora patula,2007,0.8
Kahekili,7,Pocillopora meandrina,2007,0.32
Kahekili,7,Porites compressa,2007,0
Kahekili,7,Porites lobata,2007,26.42545455
Molokini,8,Montipora capitata,2007,21.43636364
Molokini,8,Montipora flabellata,2007,0.072727273
Molokini,8,Montipora patula,2007,19.62545455
Molokini,8,Pocillopora meandrina,2007,2.261818182
Molokini,8,Porites compressa,2007,1.734545455
Molokini,8,Porites lobata,2007,19.48727273
Molokini,13,Montipora capitata,2007,57.63111111
Molokini,13,Montipora flabellata,2007,0
Molokini,13,Montipora patula,2007,27.21434343
Molokini,13,Pocillopora meandrina,2007,1.054141414
Molokini,13,Porites compressa,2007,0.08
Molokini,13,Porites lobata,2007,0.621717172
Olowalu,3,Montipora capitata,2007,5.461818182
Olowalu,3,Montipora flabellata,2007,0
Olowalu,3,Montipora patula,2007,2.64
Olowalu,3,Pocillopora meandrina,2007,0.523636364
Olowalu,3,Porites compressa,2007,0
Olowalu,3,Porites lobata,2007,9.290909091
Olowalu,7,Montipora capitata,2007,23.24
Olowalu,7,Montipora flabellata,2007,0
Olowalu,7,Montipora patula,2007,14.76
Olowalu,7,Pocillopora meandrina,2007,0.32
Olowalu,7,Porites compressa,2007,0
Olowalu,7,Porites lobata,2007,16.36
Papaula Pt.,10,Montipora capitata,2007,8.64
Papaula Pt.,10,Montipora flabellata,2007,24.48
Papaula Pt.,10,Montipora patula,2007,1.16
Papaula Pt.,10,Pocillopora meandrina,2007,1.68
Papaula Pt.,10,Porites compressa,2007,0.32
Papaula Pt.,10,Porites lobata,2007,5.12
Puamana,3,Montipora capitata,2007,
Puamana,3,Montipora flabellata,2007,
Puamana,3,Montipora patula,2007,
Puamana,3,Pocillopora meandrina,2007,
Puamana,3,Porites compressa,2007,
Puamana,3,Porites lobata,2007,
Honolua North,3,Montipora capitata,2008,2.122222222
Honolua North,3,Montipora flabellata,2008,0.166666667
Honolua North,3,Montipora patula,2008,0.577777778
Honolua North,3,Pocillopora meandrina,2008,0.944444444
Honolua North,3,Porites compressa,2008,0
Honolua North,3,Porites lobata,2008,4.077777778
Honolua South,3,Montipora capitata,2008,1.444444444
Honolua South,3,Montipora flabellata,2008,0
Honolua South,3,Montipora patula,2008,1.186666667
Honolua South,3,Pocillopora meandrina,2008,1.573333333
Honolua South,3,Porites compressa,2008,0
Honolua South,3,Porites lobata,2008,3.097777778
Kahekili,3,Montipora capitata,2008,5.531515152
Kahekili,3,Montipora flabellata,2008,0.912727273
Kahekili,3,Montipora patula,2008,4.21030303
Kahekili,3,Pocillopora meandrina,2008,1.469090909
Kahekili,3,Porites compressa,2008,2.246060606
Kahekili,3,Porites lobata,2008,25.35272727
Kahekili,7,Montipora capitata,2008,
Kahekili,7,Montipora flabellata,2008,
Kahekili,7,Montipora patula,2008,
Kahekili,7,Pocillopora meandrina,2008,
Kahekili,7,Porites compressa,2008,
Kahekili,7,Porites lobata,2008,
Molokini,8,Montipora capitata,2008,22.70181818
Molokini,8,Montipora flabellata,2008,0.066666667
Molokini,8,Montipora patula,2008,20.69272727
Molokini,8,Pocillopora meandrina,2008,2.434545455
Molokini,8,Porites compressa,2008,2.496969697
Molokini,8,Porites lobata,2008,16.86666667
Molokini,13,Montipora capitata,2008,59.54909091
Molokini,13,Montipora flabellata,2008,0.2
Molokini,13,Montipora patula,2008,22.77454545
Molokini,13,Pocillopora meandrina,2008,1.723636364
Molokini,13,Porites compressa,2008,0.12
Molokini,13,Porites lobata,2008,1.072727273
Olowalu,3,Montipora capitata,2008,4.052727273
Olowalu,3,Montipora flabellata,2008,0.04
Olowalu,3,Montipora patula,2008,3.267878788
Olowalu,3,Pocillopora meandrina,2008,0.478787879
Olowalu,3,Porites compressa,2008,3.610909091
Olowalu,3,Porites lobata,2008,8.703030303
Olowalu,7,Montipora capitata,2008,23.15857032
Olowalu,7,Montipora flabellata,2008,0
Olowalu,7,Montipora patula,2008,17.05975136
Olowalu,7,Pocillopora meandrina,2008,1.240932401
Olowalu,7,Porites compressa,2008,0.208888889
Olowalu,7,Porites lobata,2008,14.0434965
Papaula Pt.,10,Montipora capitata,2008,3.730909091
Papaula Pt.,10,Montipora flabellata,2008,3.523636364
Papaula Pt.,10,Montipora patula,2008,0.832727273
Papaula Pt.,10,Pocillopora meandrina,2008,0.28
Papaula Pt.,10,Porites compressa,2008,0
Papaula Pt.,10,Porites lobata,2008,3.934545455
Puamana,3,Montipora capitata,2008,0.556363636
Puamana,3,Montipora flabellata,2008,0
Puamana,3,Montipora patula,2008,0
Puamana,3,Pocillopora meandrina,2008,2.963030303
Puamana,3,Porites compressa,2008,0
Puamana,3,Porites lobata,2008,11.88636364
Honolua North,3,Montipora capitata,2009,1.224149184
Honolua North,3,Montipora flabellata,2009,0
Honolua North,3,Montipora patula,2009,1.353706294
Honolua North,3,Pocillopora meandrina,2009,1.332711733
Honolua North,3,Porites compressa,2009,0.2
Honolua North,3,Porites lobata,2009,4.6798446
Honolua South,3,Montipora capitata,2009,0.380792541
Honolua South,3,Montipora flabellata,2009,0.170629371
Honolua South,3,Montipora patula,2009,0.718181818
Honolua South,3,Pocillopora meandrina,2009,1.954545455
Honolua South,3,Porites compressa,2009,0.092307692
Honolua South,3,Porites lobata,2009,3.293240093
Kahekili,3,Montipora capitata,2009,5.911919192
Kahekili,3,Montipora flabellata,2009,0.036363636
Kahekili,3,Montipora patula,2009,4.044949495
Kahekili,3,Pocillopora meandrina,2009,0.936363636
Kahekili,3,Porites compressa,2009,6.045757576
Kahekili,3,Porites lobata,2009,22.35555556
Kahekili,7,Montipora capitata,2009,5.44
Kahekili,7,Montipora flabellata,2009,0.04
Kahekili,7,Montipora patula,2009,0.633333333
Kahekili,7,Pocillopora meandrina,2009,0.44
Kahekili,7,Porites compressa,2009,5.82
Kahekili,7,Porites lobata,2009,12.78666667
Molokini,8,Montipora capitata,2009,22.87132867
Molokini,8,Montipora flabellata,2009,0.65
Molokini,8,Montipora patula,2009,20.16701632
Molokini,8,Pocillopora meandrina,2009,2.107109557
Molokini,8,Porites compressa,2009,3.711538462
Molokini,8,Porites lobata,2009,13.88682984
Molokini,13,Montipora capitata,2009,59.66666667
Molokini,13,Montipora flabellata,2009,3.666666667
Molokini,13,Montipora patula,2009,23.66666667
Molokini,13,Pocillopora meandrina,2009,0.666666667
Molokini,13,Porites compressa,2009,0
Molokini,13,Porites lobata,2009,0
Olowalu,3,Montipora capitata,2009,4.281010101
Olowalu,3,Montipora flabellata,2009,0.088888889
Olowalu,3,Montipora patula,2009,1.76020202
Olowalu,3,Pocillopora meandrina,2009,1.123636364
Olowalu,3,Porites compressa,2009,3.214545455
Olowalu,3,Porites lobata,2009,5.826060606
Olowalu,7,Montipora capitata,2009,20.15535354
Olowalu,7,Montipora flabellata,2009,1.466060606
Olowalu,7,Montipora patula,2009,15.01151515
Olowalu,7,Pocillopora meandrina,2009,0.893333333
Olowalu,7,Porites compressa,2009,1.482424242
Olowalu,7,Porites lobata,2009,12.31353535
Papaula Pt.,10,Montipora capitata,2009,2.620606061
Papaula Pt.,10,Montipora flabellata,2009,2.158181818
Papaula Pt.,10,Montipora patula,2009,0.675151515
Papaula Pt.,10,Pocillopora meandrina,2009,0
Papaula Pt.,10,Porites compressa,2009,0
Papaula Pt.,10,Porites lobata,2009,1.795757576
Puamana,3,Montipora capitata,2009,0.258181818
Puamana,3,Montipora flabellata,2009,0
Puamana,3,Montipora patula,2009,0.218787879
Puamana,3,Pocillopora meandrina,2009,2.876363636
Puamana,3,Porites compressa,2009,0
Puamana,3,Porites lobata,2009,9.210909091
Honolua North,3,Montipora capitata,2010,1.906060606
Honolua North,3,Montipora flabellata,2010,0.290909091
Honolua North,3,Montipora patula,2010,1.424242424
Honolua North,3,Pocillopora meandrina,2010,0.284848485
Honolua North,3,Porites compressa,2010,0.033333333
Honolua North,3,Porites lobata,2010,5.257575758
Honolua South,3,Montipora capitata,2010,0.352727273
Honolua South,3,Montipora flabellata,2010,0.374545455
Honolua South,3,Montipora patula,2010,0.72
Honolua South,3,Pocillopora meandrina,2010,2.309090909
Honolua South,3,Porites compressa,2010,0
Honolua South,3,Porites lobata,2010,2.429090909
Kahekili,3,Montipora capitata,2010,4.992121212
Kahekili,3,Montipora flabellata,2010,0.036363636
Kahekili,3,Montipora patula,2010,5.347878788
Kahekili,3,Pocillopora meandrina,2010,1.818181818
Kahekili,3,Porites compressa,2010,6.573333333
Kahekili,3,Porites lobata,2010,23.50545455
Kahekili,7,Montipora capitata,2010,5.393939394
Kahekili,7,Montipora flabellata,2010,0.036363636
Kahekili,7,Montipora patula,2010,0.833333333
Kahekili,7,Pocillopora meandrina,2010,0.421212121
Kahekili,7,Porites compressa,2010,6.93030303
Kahekili,7,Porites lobata,2010,16.90606061
Molokini,8,Montipora capitata,2010,21.7
Molokini,8,Montipora flabellata,2010,0
Molokini,8,Montipora patula,2010,19.10666667
Molokini,8,Pocillopora meandrina,2010,2.042424242
Molokini,8,Porites compressa,2010,3.527272727
Molokini,8,Porites lobata,2010,11.15575758
Molokini,13,Montipora capitata,2010,60.16060606
Molokini,13,Montipora flabellata,2010,0
Molokini,13,Montipora patula,2010,22.25454545
Molokini,13,Pocillopora meandrina,2010,0.418181818
Molokini,13,Porites compressa,2010,0.618181818
Molokini,13,Porites lobata,2010,0.412121212
Olowalu,3,Montipora capitata,2010,3.793240093
Olowalu,3,Montipora flabellata,2010,0
Olowalu,3,Montipora patula,2010,1.56969697
Olowalu,3,Pocillopora meandrina,2010,1.161072261
Olowalu,3,Porites compressa,2010,3.831235431
Olowalu,3,Porites lobata,2010,6.621212121
Olowalu,7,Montipora capitata,2010,22.65757576
Olowalu,7,Montipora flabellata,2010,0
Olowalu,7,Montipora patula,2010,18.75757576
Olowalu,7,Pocillopora meandrina,2010,0.578787879
Olowalu,7,Porites compressa,2010,1.796969697
Olowalu,7,Porites lobata,2010,11.78787879
Papaula Pt.,10,Montipora capitata,2010,2.017489177
Papaula Pt.,10,Montipora flabellata,2010,2.485714286
Papaula Pt.,10,Montipora patula,2010,0.097142857
Papaula Pt.,10,Pocillopora meandrina,2010,0.228571429
Papaula Pt.,10,Porites compressa,2010,0
Papaula Pt.,10,Porites lobata,2010,1.014632035
Puamana,3,Montipora capitata,2010,0.106060606
Puamana,3,Montipora flabellata,2010,0
Puamana,3,Montipora patula,2010,0.254545455
Puamana,3,Pocillopora meandrina,2010,2.069090909
Puamana,3,Porites compressa,2010,0.284848485
Puamana,3,Porites lobata,2010,9.023030303
Honolua North,3,Montipora capitata,2011,1.018787879
Honolua North,3,Montipora flabellata,2011,0.642424242
Honolua North,3,Montipora patula,2011,1.006666667
Honolua North,3,Pocillopora meandrina,2011,0.484848485
Honolua North,3,Porites compressa,2011,0.239393939
Honolua North,3,Porites lobata,2011,6.227878788
Honolua South,3,Montipora capitata,2011,0.145454545
Honolua South,3,Montipora flabellata,2011,0.363636364
Honolua South,3,Montipora patula,2011,0.818181818
Honolua South,3,Pocillopora meandrina,2011,2.538181818
Honolua South,3,Porites compressa,2011,0.04
Honolua South,3,Porites lobata,2011,4.196363636
Kahekili,3,Montipora capitata,2011,6.04
Kahekili,3,Montipora flabellata,2011,0.072727273
Kahekili,3,Montipora patula,2011,6.138181818
Kahekili,3,Pocillopora meandrina,2011,1.494545455
Kahekili,3,Porites compressa,2011,7.032727273
Kahekili,3,Porites lobata,2011,24.84363636
Kahekili,7,Montipora capitata,2011,3.970909091
Kahekili,7,Montipora flabellata,2011,0
Kahekili,7,Montipora patula,2011,0.996363636
Kahekili,7,Pocillopora meandrina,2011,1.014545455
Kahekili,7,Porites compressa,2011,3.850909091
Kahekili,7,Porites lobata,2011,19.72363636
Molokini,8,Montipora capitata,2011,22.77575758
Molokini,8,Montipora flabellata,2011,0
Molokini,8,Montipora patula,2011,24.83939394
Molokini,8,Pocillopora meandrina,2011,2.445454545
Molokini,8,Porites compressa,2011,5.333333333
Molokini,8,Porites lobata,2011,10.07575758
Molokini,13,Montipora capitata,2011,52.03515152
Molokini,13,Montipora flabellata,2011,0
Molokini,13,Montipora patula,2011,29.00424242
Molokini,13,Pocillopora meandrina,2011,1.004242424
Molokini,13,Porites compressa,2011,0.691515152
Molokini,13,Porites lobata,2011,0.321212121
Olowalu,3,Montipora capitata,2011,5.103216783
Olowalu,3,Montipora flabellata,2011,0
Olowalu,3,Montipora patula,2011,1.684941725
Olowalu,3,Pocillopora meandrina,2011,0.564615385
Olowalu,3,Porites compressa,2011,3.16
Olowalu,3,Porites lobata,2011,7.673333333
Olowalu,7,Montipora capitata,2011,18.59515152
Olowalu,7,Montipora flabellata,2011,0
Olowalu,7,Montipora patula,2011,16.12080808
Olowalu,7,Pocillopora meandrina,2011,1.121616162
Olowalu,7,Porites compressa,2011,0.450909091
Olowalu,7,Porites lobata,2011,16.41333333
Papaula Pt.,10,Montipora capitata,2011,1.665454545
Papaula Pt.,10,Montipora flabellata,2011,1.909090909
Papaula Pt.,10,Montipora patula,2011,1.145454545
Papaula Pt.,10,Pocillopora meandrina,2011,0.08
Papaula Pt.,10,Porites compressa,2011,0.12
Papaula Pt.,10,Porites lobata,2011,1.632727273
Puamana,3,Montipora capitata,2011,0.258181818
Puamana,3,Montipora flabellata,2011,0
Puamana,3,Montipora patula,2011,0.371515152
Puamana,3,Pocillopora meandrina,2011,3.609277389
Puamana,3,Porites compressa,2011,0.218181818
Puamana,3,Porites lobata,2011,12.59039627
Honolua North,3,Montipora capitata,2012,1.648282828
Honolua North,3,Montipora flabellata,2012,0.776767677
Honolua North,3,Montipora patula,2012,1.978686869
Honolua North,3,Pocillopora meandrina,2012,0.573737374
Honolua North,3,Porites compressa,2012,0.309090909
Honolua North,3,Porites lobata,2012,5.01020202
Honolua South,3,Montipora capitata,2012,0.556363636
Honolua South,3,Montipora flabellata,2012,0.421818182
Honolua South,3,Montipora patula,2012,1.225454545
Honolua South,3,Pocillopora meandrina,2012,2.88
Honolua South,3,Porites compressa,2012,0.04
Honolua South,3,Porites lobata,2012,3.378181818
Kahekili,3,Montipora capitata,2012,6.643636364
Kahekili,3,Montipora flabellata,2012,0
Kahekili,3,Montipora patula,2012,4.498181818
Kahekili,3,Pocillopora meandrina,2012,1.294545455
Kahekili,3,Porites compressa,2012,6.985454545
Kahekili,3,Porites lobata,2012,25.05818182
Kahekili,7,Montipora capitata,2012,3.956363636
Kahekili,7,Montipora flabellata,2012,0
Kahekili,7,Montipora patula,2012,0.970909091
Kahekili,7,Pocillopora meandrina,2012,0.607272727
Kahekili,7,Porites compressa,2012,3.883636364
Kahekili,7,Porites lobata,2012,19.49090909
Molokini,8,Montipora capitata,2012,18.60032634
Molokini,8,Montipora flabellata,2012,0.072727273
Molokini,8,Montipora patula,2012,21.43752914
Molokini,8,Pocillopora meandrina,2012,2.876829837
Molokini,8,Porites compressa,2012,3.270815851
Molokini,8,Porites lobata,2012,12.08899767
Molokini,13,Montipora capitata,2012,51.71515152
Molokini,13,Montipora flabellata,2012,0
Molokini,13,Montipora patula,2012,27.94848485
Molokini,13,Pocillopora meandrina,2012,0.898787879
Molokini,13,Porites compressa,2012,0.378181818
Molokini,13,Porites lobata,2012,0.869090909
Olowalu,3,Montipora capitata,2012,4.128340548
Olowalu,3,Montipora flabellata,2012,0
Olowalu,3,Montipora patula,2012,1.647792208
Olowalu,3,Pocillopora meandrina,2012,1.32963925
Olowalu,3,Porites compressa,2012,3.068282828
Olowalu,3,Porites lobata,2012,4.365887446
Olowalu,7,Montipora capitata,2012,17.09757576
Olowalu,7,Montipora flabellata,2012,0
Olowalu,7,Montipora patula,2012,12.61878788
Olowalu,7,Pocillopora meandrina,2012,1.25030303
Olowalu,7,Porites compressa,2012,1.266060606
Olowalu,7,Porites lobata,2012,15.39393939
Papaula Pt.,10,Montipora capitata,2012,1.386060606
Papaula Pt.,10,Montipora flabellata,2012,1.529090909
Papaula Pt.,10,Montipora patula,2012,0.665454545
Papaula Pt.,10,Pocillopora meandrina,2012,0.076363636
Papaula Pt.,10,Porites compressa,2012,0.08
Papaula Pt.,10,Porites lobata,2012,0.811515152
Puamana,3,Montipora capitata,2012,0.036363636
Puamana,3,Montipora flabellata,2012,0
Puamana,3,Montipora patula,2012,0.185454545
Puamana,3,Pocillopora meandrina,2012,2.637575758
Puamana,3,Porites compressa,2012,0.447272727
Puamana,3,Porites lobata,2012,10.85151515
