"utrans","uquad","quad","year","avg(Psurv)","numquad"
"Honolua.N","Honolua.N.Q1","Q1",1999,1,1
"Honolua.N","Honolua.N.Q1","Q1",2000,,1
"Honolua.N","Honolua.N.Q1","Q1",2001,,1
"Honolua.N","Honolua.N.Q1","Q1",2002,0.8461538461538462,1
"Honolua.N","Honolua.N.Q1","Q1",2003,0.9230769230769231,1
"Honolua.N","Honolua.N.Q1","Q1",2004,0.5714285714285714,1
"Honolua.N","Honolua.N.Q2","Q2",1999,0.6666666666666666,2
"Honolua.N","Honolua.N.Q2","Q2",2000,,2
"Honolua.N","Honolua.N.Q2","Q2",2001,,2
"Honolua.N","Honolua.N.Q2","Q2",2002,0.7894736842105263,2
"Honolua.N","Honolua.N.Q2","Q2",2003,0.6153846153846154,2
"Honolua.N","Honolua.N.Q2","Q2",2004,0.6363636363636364,2
"Honolua.N","Honolua.N.Q3","Q3",1999,0.75,3
"Honolua.N","Honolua.N.Q3","Q3",2000,,3
"Honolua.N","Honolua.N.Q3","Q3",2001,,3
"Honolua.N","Honolua.N.Q3","Q3",2002,1,3
"Honolua.N","Honolua.N.Q3","Q3",2003,1,3
"Honolua.N","Honolua.N.Q3","Q3",2004,0.7142857142857143,3
"Honolua.N","Honolua.N.Q4","Q4",1999,0.8888888888888888,4
"Honolua.N","Honolua.N.Q4","Q4",2000,,4
"Honolua.N","Honolua.N.Q4","Q4",2001,,4
"Honolua.N","Honolua.N.Q4","Q4",2002,0.8333333333333334,4
"Honolua.N","Honolua.N.Q4","Q4",2003,0.8333333333333334,4
"Honolua.N","Honolua.N.Q4","Q4",2004,1,4
"Honolua.N","Honolua.N.Q5","Q5",1999,0.7352941176470589,5
"Honolua.N","Honolua.N.Q5","Q5",2000,,5
"Honolua.N","Honolua.N.Q5","Q5",2001,,5
"Honolua.N","Honolua.N.Q5","Q5",2002,0.7777777777777778,5
"Honolua.N","Honolua.N.Q5","Q5",2003,0.75,5
"Honolua.N","Honolua.N.Q5","Q5",2004,0.85,5
"Honolua.S","Honolua.S.Q1","Q1",1999,,1
"Honolua.S","Honolua.S.Q1","Q1",2000,,1
"Honolua.S","Honolua.S.Q1","Q1",2001,,1
"Honolua.S","Honolua.S.Q1","Q1",2002,1,1
"Honolua.S","Honolua.S.Q1","Q1",2003,1,1
"Honolua.S","Honolua.S.Q1","Q1",2004,0.6666666666666666,1
"Honolua.S","Honolua.S.Q2","Q2",1999,0.7,2
"Honolua.S","Honolua.S.Q2","Q2",2000,,2
"Honolua.S","Honolua.S.Q2","Q2",2001,,2
"Honolua.S","Honolua.S.Q2","Q2",2002,0.3076923076923077,2
"Honolua.S","Honolua.S.Q2","Q2",2003,0.5,2
"Honolua.S","Honolua.S.Q2","Q2",2004,1,2
"Honolua.S","Honolua.S.Q3","Q3",1999,1,3
"Honolua.S","Honolua.S.Q3","Q3",2000,,3
"Honolua.S","Honolua.S.Q3","Q3",2001,,3
"Honolua.S","Honolua.S.Q3","Q3",2002,1,3
"Honolua.S","Honolua.S.Q3","Q3",2003,1,3
"Honolua.S","Honolua.S.Q3","Q3",2004,1,3
"Honolua.S","Honolua.S.Q4","Q4",1999,1,4
"Honolua.S","Honolua.S.Q4","Q4",2000,,4
"Honolua.S","Honolua.S.Q4","Q4",2001,,4
"Honolua.S","Honolua.S.Q4","Q4",2002,,4
"Honolua.S","Honolua.S.Q4","Q4",2003,,4
"Honolua.S","Honolua.S.Q4","Q4",2004,1,4
"Kahekili.03m","Kahekili.03m.Q1","Q1",1999,,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2000,,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2001,0.9,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2002,0.7058823529411765,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2003,0.9285714285714286,1
"Kahekili.03m","Kahekili.03m.Q1","Q1",2004,0.5,1
"Kahekili.03m","Kahekili.03m.Q2","Q2",1999,,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2000,,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2001,0.3333333333333333,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2002,1,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2003,1,2
"Kahekili.03m","Kahekili.03m.Q2","Q2",2004,0,2
"Kahekili.03m","Kahekili.03m.Q3","Q3",1999,,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2000,,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2001,1,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2002,0.625,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2003,1,3
"Kahekili.03m","Kahekili.03m.Q3","Q3",2004,0.6923076923076923,3
"Kahekili.03m","Kahekili.03m.Q4","Q4",1999,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2000,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2001,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2002,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2003,,4
"Kahekili.03m","Kahekili.03m.Q4","Q4",2004,0,4
"Kahekili.03m","Kahekili.03m.Q5","Q5",1999,,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2000,,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2001,,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2002,1,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2003,1,5
"Kahekili.03m","Kahekili.03m.Q5","Q5",2004,0.6666666666666666,5
"Kahekili.07m","Kahekili.07m.Q1","Q1",1999,,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2000,,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2001,0.9,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2002,0.6666666666666666,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2003,1,1
"Kahekili.07m","Kahekili.07m.Q1","Q1",2004,0.5,1
"Kahekili.07m","Kahekili.07m.Q2","Q2",1999,,2
"Kahekili.07m","Kahekili.07m.Q2","Q2",2000,,2
"Kahekili.07m","Kahekili.07m.Q2","Q2",2001,0.9545454545454546,2
"Kahekili.07m","Kahekili.07m.Q2","Q2",2002,0.8823529411764706,2
"Kahekili.07m","Kahekili.07m.Q2","Q2",2003,0.9375,2
"Kahekili.07m","Kahekili.07m.Q2","Q2",2004,0.5294117647058824,2
"Kahekili.07m","Kahekili.07m.Q3","Q3",1999,,3
"Kahekili.07m","Kahekili.07m.Q3","Q3",2000,,3
"Kahekili.07m","Kahekili.07m.Q3","Q3",2001,0.6153846153846154,3
"Kahekili.07m","Kahekili.07m.Q3","Q3",2002,1,3
"Kahekili.07m","Kahekili.07m.Q3","Q3",2003,0.5714285714285714,3
"Kahekili.07m","Kahekili.07m.Q3","Q3",2004,0.25,3
"Kahekili.07m","Kahekili.07m.Q4","Q4",1999,,4
"Kahekili.07m","Kahekili.07m.Q4","Q4",2000,,4
"Kahekili.07m","Kahekili.07m.Q4","Q4",2001,1,4
"Kahekili.07m","Kahekili.07m.Q4","Q4",2002,0.25,4
"Kahekili.07m","Kahekili.07m.Q4","Q4",2003,0,4
"Kahekili.07m","Kahekili.07m.Q4","Q4",2004,,4
"Kahekili.07m","Kahekili.07m.Q5","Q5",1999,,5
"Kahekili.07m","Kahekili.07m.Q5","Q5",2000,,5
"Kahekili.07m","Kahekili.07m.Q5","Q5",2001,0.5,5
"Kahekili.07m","Kahekili.07m.Q5","Q5",2002,0.6,5
"Kahekili.07m","Kahekili.07m.Q5","Q5",2003,0.2857142857142857,5
"Kahekili.07m","Kahekili.07m.Q5","Q5",2004,0,5
"Molokini.07m","Molokini.07m.Q1","Q1",1999,,1
"Molokini.07m","Molokini.07m.Q1","Q1",2000,1,1
"Molokini.07m","Molokini.07m.Q1","Q1",2001,1,1
"Molokini.07m","Molokini.07m.Q1","Q1",2002,0.6666666666666666,1
"Molokini.07m","Molokini.07m.Q1","Q1",2003,1,1
"Molokini.07m","Molokini.07m.Q1","Q1",2004,,1
"Molokini.07m","Molokini.07m.Q2","Q2",1999,,2
"Molokini.07m","Molokini.07m.Q2","Q2",2000,1,2
"Molokini.07m","Molokini.07m.Q2","Q2",2001,0.8571428571428571,2
"Molokini.07m","Molokini.07m.Q2","Q2",2002,0.8571428571428571,2
"Molokini.07m","Molokini.07m.Q2","Q2",2003,0.6666666666666666,2
"Molokini.07m","Molokini.07m.Q2","Q2",2004,,2
"Molokini.07m","Molokini.07m.Q3","Q3",1999,,3
"Molokini.07m","Molokini.07m.Q3","Q3",2000,1,3
"Molokini.07m","Molokini.07m.Q3","Q3",2001,0.8888888888888888,3
"Molokini.07m","Molokini.07m.Q3","Q3",2002,1,3
"Molokini.07m","Molokini.07m.Q3","Q3",2003,1,3
"Molokini.07m","Molokini.07m.Q3","Q3",2004,,3
"Molokini.07m","Molokini.07m.Q4","Q4",1999,,4
"Molokini.07m","Molokini.07m.Q4","Q4",2000,1,4
"Molokini.07m","Molokini.07m.Q4","Q4",2001,1,4
"Molokini.07m","Molokini.07m.Q4","Q4",2002,1,4
"Molokini.07m","Molokini.07m.Q4","Q4",2003,0.75,4
"Molokini.07m","Molokini.07m.Q4","Q4",2004,,4
"Molokini.07m","Molokini.07m.Q5","Q5",1999,,5
"Molokini.07m","Molokini.07m.Q5","Q5",2000,,5
"Molokini.07m","Molokini.07m.Q5","Q5",2001,0.8888888888888888,5
"Molokini.07m","Molokini.07m.Q5","Q5",2002,1,5
"Molokini.07m","Molokini.07m.Q5","Q5",2003,1,5
"Molokini.07m","Molokini.07m.Q5","Q5",2004,,5
"Molokini.13m","Molokini.13m.Q1","Q1",1999,,1
"Molokini.13m","Molokini.13m.Q1","Q1",2000,1,1
"Molokini.13m","Molokini.13m.Q1","Q1",2001,0.8888888888888888,1
"Molokini.13m","Molokini.13m.Q1","Q1",2002,0.75,1
"Molokini.13m","Molokini.13m.Q1","Q1",2003,1,1
"Molokini.13m","Molokini.13m.Q1","Q1",2004,,1
"Molokini.13m","Molokini.13m.Q2","Q2",1999,,2
"Molokini.13m","Molokini.13m.Q2","Q2",2000,0.875,2
"Molokini.13m","Molokini.13m.Q2","Q2",2001,1,2
"Molokini.13m","Molokini.13m.Q2","Q2",2002,1,2
"Molokini.13m","Molokini.13m.Q2","Q2",2003,0.6666666666666666,2
"Molokini.13m","Molokini.13m.Q2","Q2",2004,,2
"Molokini.13m","Molokini.13m.Q3","Q3",1999,,3
"Molokini.13m","Molokini.13m.Q3","Q3",2000,1,3
"Molokini.13m","Molokini.13m.Q3","Q3",2001,0.7142857142857143,3
"Molokini.13m","Molokini.13m.Q3","Q3",2002,0.75,3
"Molokini.13m","Molokini.13m.Q3","Q3",2003,1,3
"Molokini.13m","Molokini.13m.Q3","Q3",2004,,3
"Molokini.13m","Molokini.13m.Q4","Q4",1999,,4
"Molokini.13m","Molokini.13m.Q4","Q4",2000,0.8823529411764706,4
"Molokini.13m","Molokini.13m.Q4","Q4",2001,0.9285714285714286,4
"Molokini.13m","Molokini.13m.Q4","Q4",2002,1,4
"Molokini.13m","Molokini.13m.Q4","Q4",2003,0.9090909090909091,4
"Molokini.13m","Molokini.13m.Q4","Q4",2004,,4
"Molokini.13m","Molokini.13m.Q5","Q5",1999,,5
"Molokini.13m","Molokini.13m.Q5","Q5",2000,0.75,5
"Molokini.13m","Molokini.13m.Q5","Q5",2001,0.75,5
"Molokini.13m","Molokini.13m.Q5","Q5",2002,1,5
"Molokini.13m","Molokini.13m.Q5","Q5",2003,1,5
"Molokini.13m","Molokini.13m.Q5","Q5",2004,,5
"Olowalu.03m","Olowalu.03m.Q1","Q1",1999,0.5384615384615384,1
"Olowalu.03m","Olowalu.03m.Q1","Q1",2000,0.4615384615384616,1
"Olowalu.03m","Olowalu.03m.Q1","Q1",2001,0.8125,1
"Olowalu.03m","Olowalu.03m.Q1","Q1",2002,0.8666666666666667,1
"Olowalu.03m","Olowalu.03m.Q1","Q1",2003,0.8461538461538462,1
"Olowalu.03m","Olowalu.03m.Q1","Q1",2004,0.8181818181818182,1
"Olowalu.03m","Olowalu.03m.Q2","Q2",1999,0.5454545454545454,2
"Olowalu.03m","Olowalu.03m.Q2","Q2",2000,1,2
"Olowalu.03m","Olowalu.03m.Q2","Q2",2001,1,2
"Olowalu.03m","Olowalu.03m.Q2","Q2",2002,0.8571428571428571,2
"Olowalu.03m","Olowalu.03m.Q2","Q2",2003,1,2
"Olowalu.03m","Olowalu.03m.Q2","Q2",2004,0.6666666666666666,2
"Olowalu.03m","Olowalu.03m.Q3","Q3",1999,0.6666666666666666,3
"Olowalu.03m","Olowalu.03m.Q3","Q3",2000,0.75,3
"Olowalu.03m","Olowalu.03m.Q3","Q3",2001,0.8333333333333334,3
"Olowalu.03m","Olowalu.03m.Q3","Q3",2002,0.8571428571428571,3
"Olowalu.03m","Olowalu.03m.Q3","Q3",2003,0.75,3
"Olowalu.03m","Olowalu.03m.Q3","Q3",2004,0.7777777777777778,3
"Olowalu.07m","Olowalu.07m.Q1","Q1",1999,0.6363636363636364,1
"Olowalu.07m","Olowalu.07m.Q1","Q1",2000,0.9,1
"Olowalu.07m","Olowalu.07m.Q1","Q1",2001,0.7272727272727273,1
"Olowalu.07m","Olowalu.07m.Q1","Q1",2002,0.6666666666666666,1
"Olowalu.07m","Olowalu.07m.Q1","Q1",2003,1,1
"Olowalu.07m","Olowalu.07m.Q1","Q1",2004,0.6,1
"Olowalu.07m","Olowalu.07m.Q2","Q2",1999,0.8,2
"Olowalu.07m","Olowalu.07m.Q2","Q2",2000,1,2
"Olowalu.07m","Olowalu.07m.Q2","Q2",2001,1,2
"Olowalu.07m","Olowalu.07m.Q2","Q2",2002,1,2
"Olowalu.07m","Olowalu.07m.Q2","Q2",2003,0.5454545454545454,2
"Olowalu.07m","Olowalu.07m.Q2","Q2",2004,0.8,2
"Olowalu.07m","Olowalu.07m.Q3","Q3",1999,0.6428571428571429,3
"Olowalu.07m","Olowalu.07m.Q3","Q3",2000,0.8571428571428571,3
"Olowalu.07m","Olowalu.07m.Q3","Q3",2001,1,3
"Olowalu.07m","Olowalu.07m.Q3","Q3",2002,0.8095238095238095,3
"Olowalu.07m","Olowalu.07m.Q3","Q3",2003,0.875,3
"Olowalu.07m","Olowalu.07m.Q3","Q3",2004,0.9090909090909091,3
"Olowalu.07m","Olowalu.07m.Q4","Q4",1999,0.75,4
"Olowalu.07m","Olowalu.07m.Q4","Q4",2000,0.75,4
"Olowalu.07m","Olowalu.07m.Q4","Q4",2001,1,4
"Olowalu.07m","Olowalu.07m.Q4","Q4",2002,1,4
"Olowalu.07m","Olowalu.07m.Q4","Q4",2003,1,4
"Olowalu.07m","Olowalu.07m.Q4","Q4",2004,0.5,4
"Puamana.03m","Puamana.03m.Q1","Q1",1999,0.7,1
"Puamana.03m","Puamana.03m.Q1","Q1",2000,0.3888888888888889,1
"Puamana.03m","Puamana.03m.Q1","Q1",2001,0.4,1
"Puamana.03m","Puamana.03m.Q1","Q1",2002,0.75,1
"Puamana.03m","Puamana.03m.Q1","Q1",2003,0.25,1
"Puamana.03m","Puamana.03m.Q1","Q1",2004,0,1
"Puamana.03m","Puamana.03m.Q2","Q2",1999,0.4736842105263158,2
"Puamana.03m","Puamana.03m.Q2","Q2",2000,0.55,2
"Puamana.03m","Puamana.03m.Q2","Q2",2001,0.631578947368421,2
"Puamana.03m","Puamana.03m.Q2","Q2",2002,0.5833333333333334,2
"Puamana.03m","Puamana.03m.Q2","Q2",2003,0.2857142857142857,2
"Puamana.03m","Puamana.03m.Q2","Q2",2004,0.5,2
"Puamana.03m","Puamana.03m.Q3","Q3",1999,0.8,3
"Puamana.03m","Puamana.03m.Q3","Q3",2000,1,3
"Puamana.03m","Puamana.03m.Q3","Q3",2001,0.8888888888888888,3
"Puamana.03m","Puamana.03m.Q3","Q3",2002,0.75,3
"Puamana.03m","Puamana.03m.Q3","Q3",2003,0.6666666666666666,3
"Puamana.03m","Puamana.03m.Q3","Q3",2004,0.6666666666666666,3
"Puamana.03m","Puamana.03m.Q4","Q4",1999,,4
"Puamana.03m","Puamana.03m.Q4","Q4",2000,1,4
"Puamana.03m","Puamana.03m.Q4","Q4",2001,1,4
"Puamana.03m","Puamana.03m.Q4","Q4",2002,0,4
"Puamana.03m","Puamana.03m.Q4","Q4",2003,0,4
"Puamana.03m","Puamana.03m.Q4","Q4",2004,,4
"Puamana.03m","Puamana.03m.Q5","Q5",1999,0.1666666666666667,5
"Puamana.03m","Puamana.03m.Q5","Q5",2000,0.4444444444444444,5
"Puamana.03m","Puamana.03m.Q5","Q5",2001,0.3333333333333333,5
"Puamana.03m","Puamana.03m.Q5","Q5",2002,0.1666666666666667,5
"Puamana.03m","Puamana.03m.Q5","Q5",2003,0,5
"Puamana.03m","Puamana.03m.Q5","Q5",2004,,5
